country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","06-04-2025 22:00:00",28.563262,77.186937,OZONE,10,17,12
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","06-04-2025 22:00:00",28.611281,77.237738,NO2,15,157,85
India,Delhi,Delhi,"Mundka, Delhi - DPCC","06-04-2025 22:00:00",28.684678,77.076574,NH3,6,12,8
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","06-04-2025 22:00:00",28.732820,77.170633,PM10,100,435,279
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","06-04-2025 22:00:00",28.5918245,77.2273074,PM10,NA,NA,NA
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","06-04-2025 22:00:00",28.567890,77.250515,CO,19,105,45
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","06-04-2025 22:00:00",28.6573814,77.1585447,NO2,13,125,66
India,Delhi,Delhi,"Rohini, Delhi - DPCC","06-04-2025 22:00:00",28.732528,77.119920,CO,14,150,150
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","06-04-2025 22:00:00",23.043070,72.562968,CO,9,146,53
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","06-04-2025 22:00:00",23.043070,72.562968,OZONE,5,72,34
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","06-04-2025 22:00:00",23.163798,72.677768,NH3,5,20,10
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","06-04-2025 22:00:00",23.163798,72.677768,SO2,5,34,10
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","06-04-2025 22:00:00",23.243639,72.68994,PM10,60,142,99
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","06-04-2025 22:00:00",28.531346,77.190156,CO,15,62,25
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","06-04-2025 22:00:00",28.672342,77.315260,NH3,1,5,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","06-04-2025 22:00:00",28.672342,77.315260,SO2,9,44,18
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","06-04-2025 22:00:00",28.699793,77.165453,NO2,50,266,133
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","06-04-2025 22:00:00",28.6514781,77.1473105,OZONE,15,60,32
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","06-04-2025 22:00:00",28.710508,77.249485,OZONE,2,202,105
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","06-04-2025 22:00:00",28.531346,77.190156,NO2,9,97,54
